commodity_fr,category,n_releves,dans_panier
Arachide décortiquée,pulses and nuts,1756,False
Arachide en coque,pulses and nuts,1528,False
Maïs importé,cereals and tubers,4828,False
Maïs local,cereals and tubers,7326,True
Mil,cereals and tubers,9408,True
Niébé (haricot),pulses and nuts,2440,False
Riz importé (brisé),cereals and tubers,9225,True
Riz local,cereals and tubers,3840,True
Riz ordinaire 1re qual.,cereals and tubers,2226,False
Riz ordinaire 2e qual.,cereals and tubers,35,False
Sorgho,cereals and tubers,6414,True
Sorgho importé,cereals and tubers,745,False
