date,region,region_fr,commodity_fr,prix_median,nb_marches
2007-01-01,Dakar,Dakar,Maïs importé,187.5,4
2007-01-01,Dakar,Dakar,Maïs local,195.83499999999998,4
2007-01-01,Dakar,Dakar,Mil,183.0,5
2007-01-01,Dakar,Dakar,Riz importé (brisé),225.0,5
2007-01-01,Dakar,Dakar,Sorgho,178.5,4
2007-01-01,Diourbel,Diourbel,Maïs importé,150.0,4
2007-01-01,Diourbel,Diourbel,Maïs local,150.0,1
2007-01-01,Diourbel,Diourbel,Mil,120.0,4
2007-01-01,Diourbel,Diourbel,Riz importé (brisé),200.0,4
2007-01-01,Fatick,Fatick,Maïs importé,168.75,4
2007-01-01,Fatick,Fatick,Maïs local,140.0,3
2007-01-01,Fatick,Fatick,Mil,126.67,5
2007-01-01,Fatick,Fatick,Riz importé (brisé),200.0,5
2007-01-01,Fatick,Fatick,Sorgho,152.5,2
2007-01-01,Kaffrine,Kaffrine,Maïs local,116.25,2
2007-01-01,Kaffrine,Kaffrine,Mil,117.5,3
2007-01-01,Kaffrine,Kaffrine,Riz importé (brisé),237.5,3
2007-01-01,Kaffrine,Kaffrine,Sorgho,113.75,2
2007-01-01,Kaolack,Kaolack,Maïs local,135.0,1
2007-01-01,Kaolack,Kaolack,Mil,120.0,3
2007-01-01,Kaolack,Kaolack,Riz importé (brisé),231.875,2
2007-01-01,Kaolack,Kaolack,Sorgho,135.20999999999998,2
2007-01-01,Kedougou,Kédougou,Maïs local,160.0,1
2007-01-01,Kedougou,Kédougou,Mil,250.0,1
2007-01-01,Kedougou,Kédougou,Riz importé (brisé),225.0,1
2007-01-01,Kolda,Kolda,Maïs local,162.5,2
2007-01-01,Kolda,Kolda,Mil,225.0,2
2007-01-01,Kolda,Kolda,Riz importé (brisé),220.0,2
2007-01-01,Kolda,Kolda,Sorgho,200.0,1
2007-01-01,Louga,Louga,Maïs importé,145.0,2
2007-01-01,Louga,Louga,Maïs local,160.0,4
2007-01-01,Louga,Louga,Mil,155.0,3
2007-01-01,Louga,Louga,Riz importé (brisé),220.0,4
2007-01-01,Louga,Louga,Riz local,198.33499999999998,4
2007-01-01,Louga,Louga,Sorgho,155.0,3
2007-01-01,Matam,Matam,Maïs importé,187.5,2
2007-01-01,Matam,Matam,Maïs local,175.0,3
