market,region,region_fr,latitude,longitude,n_releves,dernier_releve
Bakel,Tambacounda,Tambacounda,14.9,-12.46,949,2026-03-01
Bambey,Diourbel,Diourbel,14.7,-16.46,1084,2026-03-01
Bignona,Ziguinchor,Ziguinchor,12.81,-16.23,1037,2026-03-01
Birkelane,Kaffrine,Kaffrine,14.13,-15.75,728,2025-08-01
Castors,Dakar,Dakar,14.73,-17.45,515,2026-03-01
Dagana,Saint Louis,Saint-Louis,16.48,-15.6,256,2013-04-01
Dakar,Dakar,Dakar,14.68,-17.45,586,2024-12-01
Diakhao,Fatick,Fatick,14.47,-16.3,939,2026-03-01
Diama Gadio,Kaffrine,Kaffrine,13.79,-15.42,363,2021-01-01
Diaobe,Kolda,Kolda,12.7,-14.4,1019,2026-03-01
Dioli Mandakh,Kaffrine,Kaffrine,13.98,-15.33,85,2010-08-01
Diourbel,Diourbel,Diourbel,14.65,-16.23,1392,2026-03-01
Dodel,Saint Louis,Saint-Louis,16.49,-14.43,37,2020-04-01
Fatick,Fatick,Fatick,14.33,-16.4,1233,2026-03-01
Galoya,Saint Louis,Saint-Louis,16.07,-13.85,9,2012-04-01
Gossas,Fatick,Fatick,14.5,-16.23,957,2026-03-01
Gouille Mbeuth,Louga,Louga,15.67,-16.03,1244,2026-03-01
Gueule Tapee,Dakar,Dakar,14.68,-17.46,554,2021-06-01
Kaffrine,Kaffrine,Kaffrine,14.1,-15.55,848,2025-08-01
Kaolack,Kaolack,Kaolack,14.16,-16.07,1303,2026-03-01
Kedougou,Kedougou,Kédougou,12.48,-11.95,1101,2026-03-01
Keur I. Yacine,Fatick,Fatick,13.87,-16.24,987,2026-03-01
Kolda,Kolda,Kolda,12.88,-14.95,1207,2026-03-01
Koungueul,Kaffrine,Kaffrine,13.98,-14.8,229,2020-04-01
Kouthiaba,Tambacounda,Tambacounda,14.18,-14.47,1050,2026-03-01
Louga,Louga,Louga,15.62,-16.22,1333,2026-03-01
Mabo,Kaffrine,Kaffrine,13.92,-15.68,815,2025-08-01
Mako,Kedougou,Kédougou,12.86,-12.35,554,2026-03-01
Matam,Matam,Matam,15.62,-13.33,540,2022-06-01
Mbafaye,Thies,Thiès,14.57,-16.78,1041,2026-03-01
Mbar,Fatick,Fatick,14.54,-15.76,342,2026-03-01
Mereto,Tambacounda,Tambacounda,13.82,-14.45,1020,2026-03-01
Missirah,Fatick,Fatick,13.68,-16.5,627,2025-08-01
Mpal,Saint Louis,Saint-Louis,15.91,-16.26,1272,2026-03-01
N'Doffane,Kaolack,Kaolack,13.92,-15.93,750,2026-03-01
Ndiagne,Louga,Louga,15.1,-15.96,418,2026-03-01
Ndindy,Diourbel,Diourbel,14.88,-16.22,885,2026-03-01
Ndrame Escale,Kaolack,Kaolack,13.8,-16.17,861,2026-03-01
Orkodiere,Matam,Matam,15.28,-12.96,1130,2026-02-01
Ourossogui,Matam,Matam,15.6,-13.32,1347,2026-03-01
Oussouye,Ziguinchor,Ziguinchor,12.48,-16.55,83,2011-10-01
Passy,Fatick,Fatick,13.98,-16.27,1018,2026-03-01
Porokhane,Kaolack,Kaolack,13.7,-15.83,811,2026-03-01
Ross Béthio,Saint Louis,Saint-Louis,16.28,-16.14,4,2020-12-01
Rosso,Saint Louis,Saint-Louis,16.5,-15.82,4,2012-03-01
Sagatta,Louga,Louga,15.28,-16.17,407,2026-03-01
Saint-Louis,Saint Louis,Saint-Louis,16.02,-16.49,1383,2026-03-01
Saint-Maur,Ziguinchor,Ziguinchor,12.58,-16.27,935,2026-03-01
Salémata,Kedougou,Kédougou,12.63,-12.82,624,2026-03-01
Sandjara,Diourbel,Diourbel,14.7,-16.43,70,2014-03-01
Sare Yoba,Kolda,Kolda,12.77,-15.11,816,2026-01-01
Sedhiou,Sedhiou,Sédhiou,12.71,-15.56,894,2026-02-01
Tambacounda,Tambacounda,Tambacounda,13.75,-13.76,1093,2026-03-01
Thiaroye,Dakar,Dakar,14.74,-17.38,1110,2026-03-01
Thies,Thies,Thiès,14.79,-16.93,1500,2026-03-01
Thille Boubacar,Saint Louis,Saint-Louis,16.52,-15.08,273,2024-10-01
Thilmakha,Thies,Thiès,15.03,-16.25,952,2026-03-01
Thiodaye,Matam,Matam,15.99,-13.66,1095,2026-03-01
Tilene,Dakar,Dakar,14.68,-17.46,1151,2026-03-01
Touba,Diourbel,Diourbel,14.85,-15.88,1260,2026-03-01
Touba Mourid,Fatick,Fatick,13.8,-16.33,22,2021-04-01
Touba Toul,Thies,Thiès,14.82,-16.67,1129,2026-03-01
Velingara,Matam,Matam,15.0,-14.67,32,2008-01-01
Zigiunchor,Ziguinchor,Ziguinchor,12.58,-16.27,458,2022-06-01
